team,price,section
DEN,193,515
DEN,199,507
DEN,199,539
KC,193,515
KC,199,507
KC,199,539
CHI,134,104
CHI,151,137
CHI,151,137
GB,134,104
GB,151,137
GB,151,137
LAC,88,319
LAC,93,432
LAC,93,347
LV,88,319
LV,93,432
LV,93,347
DET,418,345
DET,418,344
DET,424,318
MIN,418,345
MIN,418,344
MIN,424,318
JAX,17,633
JAX,18,634
JAX,18,628
IND,17,633
IND,18,634
IND,18,628
TEN,17,329
TEN,18,326
TEN,18,305
HOU,17,329
HOU,18,326
HOU,18,305
BUF,42,301
BUF,42,301
BUF,46,326
NE,42,301
NE,42,301
NE,46,326
MIA,27,327
MIA,29,329
MIA,29,336
NYJ,27,327
NYJ,29,329
NYJ,29,336
CLE,71,508
CLE,75,545
CLE,75,510
BAL,71,508
BAL,75,545
BAL,75,510
CIN,69,541
CIN,71,504
CIN,71,549
PIT,69,541
PIT,71,504
PIT,71,539
SEA,69,553
SEA,72,553
SEA,72,550
LAR,69,553
LAR,72,553
LAR,72,550
SF,22,436
SF,22,434
SF,22,452
ARI,22,436
ARI,22,434
ARI,22,452
ATL,37,323
ATL,44,303
ATL,47,324
CAR,37,323
CAR,44,303
CAR,47,324
NO,50,344
NO,50,343
NO,50,341
TB,50,344
TB,50,343
TB,50,341
NYG,99,STAND
NYG,107,209
NYG,113,209
PHI,99,STAND
PHI,107,209
PHI,113,209
DAL,16,420
DAL,17,STAND
DAL,17,422
WAS,16,420
WAS,17,STAND
WAS,17,422
